name,kind,extension,risk,severity,suspicion,already_documented,evidence
bcmath.scale,ini,bcmath,shared-state,high,OnUpdateScale writes process-wide BCG(bc_precision); only the ini value is swapped per request.,no,ext/bcmath/bcmath.c:90
bcscale,function,bcmath,shared-state,high,"Writes BCG(bc_precision), the process-wide default scale, so every bcadd/bcmul/bcdiv in other in-flight requests that omits the scale argument silently rounds to this request's scale (money math).",no,"ext/bcmath/bcmath.c:90,227,276,325,364,374,418"
date.timezone,ini,date,shared-state,high,"OnUpdate_date_timezone writes DATEG(default_timezone) process-wide; only the ini value is swapped per request, so ini_set('date.timezone') changes every other request's default zone.",no,"ext/date/php_date.c:253,529-536"
date_default_timezone_set,function,date,shared-state,high,"Writes DATEG(timezone), a process-wide module global freed only in the once-per-process RSHUTDOWN, so date(), strtotime(), mktime() and DateTime objects created without an explicit zone in every other in-flight request silently use this request's timezone.",no,"ext/date/php_date.c:5459-5476,419-422,553-554"
dba_popen,function,dba,shared-state,high,"Persistent DBA handles are stored in the process-wide persistent list and shared by concurrent requests, so two requests iterate/write one handle's cursor and lock at once.",no,"ext/dba/dba.c:294-304,401,526-534"
filter_has_var,function,filter,shared-state,high,"Checks the process-wide IF_G(*_array) snapshot, reporting variables from other in-flight requests.",no,"ext/filter/filter.c:468,433-451"
filter_input,function,filter,shared-state,high,"IF_G(get_array/post_array/cookie_array/server_array) are process-wide arrays filled by php_sapi_filter while a request's variables are registered and freed only in the once-per-process RSHUTDOWN, so request A's filter_input(INPUT_GET, 'x') returns request B's raw GET value.",no,"ext/filter/filter.c:232-236,433-451,188 (RSHUTDOWN)"
filter_input_array,function,filter,shared-state,high,"Reads the same process-wide IF_G(*_array) snapshots as filter_input(), returning another request's input.",no,"ext/filter/filter.c:766,433-451"
bindtextdomain,function,gettext,shared-state,high,"Binds a domain to a directory in libintl's process-wide table (also bind_textdomain_codeset), redirecting other requests' lookups.",no,"ext/gettext/gettext.c:178,304"
textdomain,function,gettext,shared-state,high,"Sets libintl's process-wide current domain, so gettext()/_() in every other in-flight request silently translates from this request's catalogue.",no,ext/gettext/gettext.c:80
intl.default_locale,ini,intl,shared-state,high,OnUpdateStringUnempty writes INTL_G(default_locale) process-wide; only the ini value is swapped.,no,ext/intl/php_intl.c:132
